fecha,usd_clp,cobre_usd,eur_clp,uf_clp,oni_index,usd_clp_change_7d,usd_clp_change_30d,usd_clp_rolling_30d,cobre_change_30d,is_el_nino,is_la_nina,oni_squared
2025-07-07,932.34,4.56,1097.9,39285.38,-0.11333333333333334,-0.0036334879346826554,0.0005473101316764151,935.9925000000001,0.0332326283987916,0,0,0.012844444444444447
2025-07-08,940.28,4.52,1100.9,39288.0,-0.11666666666666667,0.0073493175633692065,0.00794322896009092,936.2394999999999,0.018782870022539422,0,0,0.013611111111111112
2025-07-09,945.39,4.49,1108.31,39290.61,-0.12,0.020256415790723237,0.012292405049737054,936.6221666666665,0.0067264573991032695,0,0,0.0144
2025-07-10,948.33,4.46,1110.85,39285.53,-0.12333333333333335,0.023550744190564687,0.011994578962532865,936.9968333333333,0.006772009029345494,0,0,0.015211111111111114
2025-07-11,950.43,4.38,1111.22,39280.45,-0.12666666666666668,0.024313750848717897,0.01230189161554196,937.3818333333334,-0.024498886414254017,0,0,0.016044444444444448
2025-07-12,952.1966666666666,4.386666666666667,1113.2433333333333,39275.37,-0.13,0.02457246563943638,0.016913010665413397,937.9097222222223,-0.01644245142002987,0,0,0.016900000000000002
2025-07-13,953.9633333333334,4.3933333333333335,1115.2666666666667,39270.3,-0.13333333333333333,0.024830352187069193,0.025491355370420132,938.7001666666667,-0.0015151515151515804,0,0,0.017777777777777778
2025-07-14,955.73,4.4,1117.29,39265.22,-0.1366666666666667,0.02508741446253504,0.024625841588404418,939.4658333333333,-0.0030211480362538623,0,0,0.018677777777777783
2025-07-15,967.22,4.37,1128.48,39260.14,-0.14,0.02865104011571029,0.0341612582462818,940.5308333333334,-0.012801204819277157,0,0,0.019600000000000003
2025-07-16,966.435,4.355,1124.3600000000001,39255.07,-0.14451612903225808,0.02226065433313229,0.030556207212779185,941.486,-0.019144144144144115,0,0,0.020884911550468267
2025-07-17,965.65,4.34,1120.24,39249.99,-0.14903225806451614,0.018263684582371154,0.032548839298125465,942.5006666666667,-0.015873015873015928,0,0,0.022210613943808535
2025-07-18,966.78,4.34,1120.0,39244.92,-0.1535483870967742,0.017202739812505863,0.02926678661542237,943.4169999999999,-0.022522522522522626,0,0,0.023577107180020818
2025-07-19,965.0366666666666,4.346666666666667,1119.1866666666667,39239.84,-0.15806451612903227,0.013484609271894099,0.022978149027589323,944.1395555555555,-0.021021021021021102,0,0,0.024984391259105104
2025-07-20,963.2933333333333,4.3533333333333335,1118.3733333333332,39234.77,-0.16258064516129034,0.00978025011443484,0.02013797144730578,944.7734166666667,-0.01896713615023471,0,0,0.0264324661810614
2025-07-21,961.55,4.36,1117.56,39229.7,-0.1670967741935484,0.00608958597093312,0.017303307783050004,945.3185833333333,-0.016910935738444266,0,0,0.027921331945889704
2025-07-22,956.65,4.41,1118.37,39224.63,-0.17161290322580647,-0.010928227290585402,0.011137681829592072,945.6698333333334,-0.005076142131979711,0,0,0.029450988553590015
2025-07-23,953.4,4.44,1119.8,39219.56,-0.17612903225806453,-0.013487715159322677,0.006726291669746365,945.8821666666666,0.0022573363431153126,0,0,0.031021436004162337
2025-07-24,948.93,4.47,1116.78,39214.48,-0.1806451612903226,-0.01731476207735727,-0.0012945188178833389,945.8411666666667,-0.0044543429844099425,0,0,0.03263267429760667
2025-07-25,951.27,4.48,1119.27,39209.42,-0.18516129032258066,-0.016042946689008852,0.01426606531682828,946.2871666666667,-0.006651884700665023,0,0,0.034284703433923
2025-07-26,953.4533333333334,4.473333333333334,1121.0466666666666,39204.35,-0.18967741935483873,-0.01200299815896455,0.01833121504377222,946.8592777777778,0.005243445692883819,0,0,0.03597752341311135
